OBJECTID,NBRHD_NAME,ADJ,GID,SECTOR,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,ID,SHAPESTArea,SHAPESTLength
24098,AMELIA ESTATES ,1.0,84561412383.0,8456.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,11.0,730731.035746162,3372.416222389
24099,BRUCE STATION,1.0,94760446352.0,9476.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,12.0,1071119.57566153,4792.6678939042
24100,BRYANT FARMS,1.0,141278006115.0,1412.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,55.0,2515414.66778513,6928.52344162309
24101,BUNCH WALNUTS ESTATES,1.0,133705478343.0,1337.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,56.0,2236667.28973627,10144.6329405195
24102,CAHOON PLANTATION,1.0,142251468478.0,1422.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,718.0,21159090.6906074,31212.9415469542
24103,ARBOR GLEN APARTMENTS,1.0,143575326010.0,1435.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,13.0,803933.305130683,3644.3626960962
24104,ARDMORE,1.0,143523714029.0,1435.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,280.0,5424649.08583297,12894.7716845504
24105,ASH HILL ESTATES,1.0,143225335036.0,1432.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,57.0,309387.933993381,2566.75224044491
24106,ASHLEY WOODS,1.0,144482451081.0,1444.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2022/07/19 19:58:35+00,14.0,751119.262631077,3797.5352824825
24107,AVALON,1.0,143515618949.0,1435.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,71.0,2534374.25818365,8593.50406462241
24108,BAILEYS CREEK,1.0,94057650840.0,9405.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,72.0,2662767.2598649,7306.21971787273
24109,BATTLEFIELD COMMONS,1.0,143347949858.0,1433.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,15.0,1451022.01708802,7411.96596350982
24110,BATTLEWOOD MEADOWS,1.0,144069933951.0,1440.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,73.0,2637177.13799533,6479.40118939688
24111,BAYBERRY FOREST,1.0,144476205173.0,1444.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,617.0,1242774.69567103,7164.81376228604
24112,BAYBERRY PLACE,1.0,144485116691.0,1444.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2022/07/19 19:54:52+00,74.0,2404273.96278675,8110.63731905268
24113,BEACON POINT AT RIVER WALK,1.0,143331050796.0,1433.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,34.0,1775585.62907049,6222.25280574659
24114,BELVIN HEIGHTS,1.0,143433925578.0,1434.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,16.0,1074808.07023568,5194.24844437619
24115,BERKSHIRE FOREST,1.0,144130838133.0,1441.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,719.0,2621883.27860869,11595.3361590425
24116,BRADDOCK LANDING ,1.0,84860617215.0,8486.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,35.0,1265970.69522753,5451.64811575823
24117,BRANDERMILL,1.0,145124795683.0,1451.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,36.0,5086540.18516976,14699.8531508731
24118,BRENTWOOD,1.0,141457859984.0,1414.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,37.0,5762087.49943925,10069.592365576
24119,BRIARWOOD,1.0,144106279058.0,1441.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,701.0,3495960.73741062,11278.5378329027
24120,BRIDGEFIELD,1.0,144189750548.0,1441.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,2.0,4254589.25494648,8835.04919526698
24121,BRIDGEWOOD,1.0,143194326945.0,1431.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,702.0,1570644.75825443,5803.74989638652
24122,A STREET PROJECT,1.0,143610065211.0,1436.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,17.0,268040.762357336,3108.13970484049
24123,ALBEMARLE FARMS NORTH,1.0,145290584422.0,1452.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,4.0,2115748.01837958,6129.26832160449
24124,APTS AT 1415 COMMERCE AVE,1.0,143537111171.0,1435.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,70.0,9021.28725391252,391.194112640347
24125,ARCHBELL APARTMENTS,1.0,144559170704.0,1445.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,18.0,28238.1395265926,656.681764898462
24126,ASBURY DOWNS CONDOMINIUMS,1.0,145348543033.0,1453.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2022/07/19 17:47:48+00,19.0,338347.558177877,3112.11772317789
24127,ASHBURN POINT,1.0,144615716322.0,1446.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,5.0,1894733.06626506,6109.98967861266
24128,BATTLEFIELD COMM CENTER CONDO,1.0,143388716170.0,1433.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,20.0,41355.7299661325,845.180687635131
24129,BAYBERRY WOODS,1.0,144483686975.0,1444.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2022/07/19 19:57:03+00,6.0,1097310.90188278,4419.45880314083
24130,BISHOP DAVIS ESTATES,1.0,141352624173.0,1413.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,7.0,517530.259067955,3496.92643538794
24131,BRENT LOX NURSING HOME AND REHAB,1.0,141433263559.0,1414.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,124.0,218731.337501297,2271.08105837556
24132,BROAD BEND AT RIVER WALK,1.0,143340536807.0,1433.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,8.0,483609.911773373,2784.88994084441
24133,BROADLAWN APARTMENTS,1.0,143553414314.0,1435.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,9.0,937924.218658449,4339.39367739238
24134,ACORN GROVE APARTMENTS,1.0,144208450123.0,1442.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,22.0,265204.515274964,2428.97170766066
24135,AHOY ACRES SOUTH,1.0,94757154139.0,9475.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,736.0,1703495.30969952,5679.8168844074
24136,ALBEMARLE COLONY,1.0,145167369838.0,1451.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,10.0,1417752.23042205,6344.21991591889
24137,ALBEMARLE OFFICE PARK,1.0,143271739622.0,1432.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,23.0,210802.187597873,2110.9226271902
24138,BRITTANY WOODS,1.0,94367771596.0,9436.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2024/07/02 20:33:07+00,398.0,3121129.9170428,8755.71593494896
24139,CAMBRIDGE MANOR APARTMENTS,1.0,143670273991.0,1436.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,93.0,1295702.40776432,5430.68227830616
24140,JESTER GARDENS,1.0,84950911171.0,8495.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,21.0,791610.481538851,3996.42477290444
24141,AVALON BIRCHES APARTMENTS,1.0,144468317485.0,1444.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,304.0,913680.343782953,3968.59250709637
24142,BAYWOOD MANOR,1.0,141358580727.0,1413.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,94.0,833101.489316592,3878.00953499436
24143,BEAVER MEADOWS,1.0,136944851295.0,1369.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,95.0,3842638.46320997,9916.70661350784
24144,BREEZEWOOD LANDING,1.0,143233636510.0,1432.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,24.0,877324.737708291,4143.52048394299
24145,JUNIPER CRESCENT,1.0,144530724918.0,1445.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,774.0,76403.1488938511,1165.16800580886
24146,ADMIRAL MHP,1.0,141421244473.0,1414.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,25.0,211940.286782204,2288.03198171369
24147,AMBERLY,1.0,141413754197.0,1414.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,97.0,194444.675739743,1880.07253019988
24148,APARTMENTS AT 1810 SPEEDY AVE,1.0,144565887362.0,1445.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,596.0,22986.7967291245,667.184634067727
24149,APTS 1307 COMMERCE AVE,1.0,143537060993.0,1435.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,26.0,9046.91441143931,389.54902654919
24150,APTS ON COMMERCE AVE,1.0,143527913416.0,1435.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,98.0,8966.09410668778,384.905413529419
24151,APTS ON HOOVER AVE,1.0,143538312721.0,1435.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,27.0,15442.0102299797,509.095154556046
24152,AVALON ARMS APARTMENTS,1.0,143514415241.0,1435.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,28.0,60202.9677535199,1021.91168406225
24153,BARNES MHP,1.0,141445346996.0,1414.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,99.0,499102.330992172,3331.440073377
24154,BATTLEFIELD CORPORATE CTR,1.0,143369324697.0,1433.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2024/07/30 13:29:25+00,647.0,9289283.79266942,14546.3657017477
24155,BATTLEFIELD WOODS APARTMENTS,1.0,144129781901.0,1441.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,100.0,233282.776551572,2359.26440387647
24156,BLACKWATER FOREST,1.0,148007435945.0,1480.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,277.0,750547.340909294,3618.05497446191
24157,BOWERS HILL,1.0,94046520467.0,9404.0,CSTINNETTE,2021/09/03 18:53:26+00,CSTINNETTE,2021/09/03 18:53:26+00,30.0,7247628.47930563,26614.8098767689
